"TimeGenerated [UTC]","GmtTime [UTC]",EventVendor,EventProduct,EventId,EventSeverity,AgentGuid,DvcHostname,DvcIpAddr,DvcMacAddr,AgentVersion,SrcDvcOs,SrcUserName,TimeZoneBias,ProductName,ProductFamily,ProductVersion,Analyzer,AnalyzerName,AnalyzerVersion,AnalyzerHostName,AnalyzerDatVersion,AnalyzerEngineVersion,AnalyzerDetectionMethod,ThreatName,ThreatType,ThreatCategory,ThreatId,ThreatHandled,ThreatActionTaken,ThreatSeverity,SrcUserUpn,SrcProcessName,DstDvcHostname,DstUserName,TargetProcessName,DstFileName,Target,BladeName,AnalyzerContentVersion,"AnalyzerContentCreationDate [UTC]",AnalyzerRuleName,AnalyzerRuleId,AnalyzerGtiQuery,ThreatDetectedOnCreation,DstFileSize,DstFileModifiedTime,DstFileAccessedTime,DstFileCreationTime,Cleanable,TaskName,FirstAttemptedAction,FirstActionStatus,SecondAttemptedAction,SecondActionStatus,ApiName,SourceDescription,SrcProcessId,SrcProcessHashMd5,AttackVectorType,DurationBeforeDetection,AccessRequested,DetectionMessage,AmCoreContentVersion,SrcIpAddr,SrcMacAddr,DstIpAddr,DstMacAddr,ProductId,Locale,Error,Type,Version,InitiatorId,InitiatorType,SiteName,Description
"22-11-2022 03:12:44.000","22-11-2022 03:12:29.000",McAfee,"McAfee ePO",2422,Critical,"{73604b2a-4661-11ea-1703-0050568ad197}",P00269,"145.219.150.220",0050568AD197,"5.7.7.378",,ADAA017994,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DXL_____1000",0409,59,"Policy Enforcement","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 03:16:43.160","22-11-2022 03:12:30.000",McAfee,"McAfee ePO",2422,Critical,"{df820d7c-bf4a-11ea-2a8a-0050568a849c}",P00484,"145.219.151.108",0050568A849C,"5.7.7.378",,ADAA017994,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DXL_____1000",0409,59,"Policy Enforcement","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 03:14:05.496","22-11-2022 03:12:30.000",McAfee,"McAfee ePO",2422,Critical,"{b7f43612-1923-11eb-145e-0050568afaf5}",P00638,"145.219.151.182",0050568AFAF5,"5.7.6.251",,ADAA017994,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DXL_____1000",0409,59,"Policy Enforcement","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 03:14:10.375","22-11-2022 02:48:50.000",McAfee,"McAfee ePO",2401,Information,"{2fea2156-6a0b-11ed-3af2-005056b8317d}","PRD-SBC-206","10.90.152.209",005056B8317D,"5.7.7.378",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMCORDAT2000,0409,0,AMCore,"4990.0",EPOAGENT3000,OnDemand,"ePO_P00708","N/A"
"22-11-2022 03:17:42.783","22-11-2022 02:37:49.000",McAfee,"McAfee ePO",2401,Information,"{b4626bdc-6a0b-11ed-1a70-005056b86469}","PRD-SBC-203","10.90.152.232",005056B86469,"5.7.7.378",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMCORDAT2000,0409,0,AMCore,"4990.0",EPOAGENT3000,OnDemand,"ePO_P00708","N/A"
"22-11-2022 03:16:25.769","22-11-2022 03:12:29.000",McAfee,"McAfee ePO",2422,Critical,"{b184eacc-bc5a-11ea-173a-0050568a99de}",P00473,"145.219.151.95",0050568A99DE,"5.7.7.378",,ADAA017994,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DXL_____1000",0409,59,"Policy Enforcement","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 03:21:32.989","22-11-2022 03:08:46.000",McAfee,"McAfee ePO",2401,Information,"{2abdc33a-6a0c-11ed-3235-005056b8ee87}","PRD-SBC-PAM01","10.90.152.240",005056B8EE87,"5.7.7.378",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMCORDAT2000,0409,0,AMCore,"4990.0",EPOAGENT3000,OnDemand,"ePO_P00708","N/A"
"22-11-2022 03:24:32.612","22-11-2022 02:33:08.000",McAfee,"McAfee ePO",2401,Information,"{975d0578-6a0c-11ed-1237-005056b832ab}","PRD-SBC-208","10.90.152.211",005056B832AB,"5.7.7.378",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMCORDAT2000,0409,0,AMCore,"4990.0",EPOAGENT3000,OnDemand,"ePO_P00708","N/A"
"22-11-2022 01:42:56.096","22-11-2022 01:42:28.000",McAfee,"McAfee ePO",2422,Critical,"{ccd1ebca-c053-11ea-108a-000000000000}",AISRV62142,"145.219.137.136",001DD8B72E02,"5.7.7.378",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ENDP_GS_1070",0409,59,"Policy Enforcement","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 01:52:37.608","22-11-2022 01:52:36.000",McAfee,"McAfee ePO",2427,Critical,"{4fc7dd34-574b-11ec-2930-0050568a80e7}",P01075,"145.219.200.20",0050568A80E7,"5.7.6.251",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ENDPATP_1070",0409,83,"Property Collection","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 01:40:43.419","22-11-2022 01:40:21.000",McAfee,"McAfee ePO",2422,Critical,"{36c3dad2-09cc-11ea-1fba-0050568aacb0}",P00026,"145.219.150.25",0050568AACB0,"5.7.7.378",,"adaa606473,adaa602747,ADAA622478","-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DXL_____1000",0409,59,"Policy Enforcement","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 01:48:46.000","22-11-2022 01:46:09.000",McAfee,"McAfee ePO",2401,Information,"{34042f22-69ff-11ed-353e-005056b85fc3}","OTA-SBC-002","10.90.141.3",005056B85FC3,"5.7.7.378",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMCORDAT2000,0409,0,AMCore,"4990.0",EPOAGENT3000,OnDemand,"ePO_P00708","N/A"
"22-11-2022 01:57:13.132","22-11-2022 01:57:10.000",McAfee,"McAfee ePO",2427,Critical,"{b59f89ac-29cf-11ed-18fc-0050568aa303}",P01583,"145.219.201.167",0050568AA303,"5.7.7.378",,"ADAA469381,ADAA616345","-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ENDPATP_1070",0409,83,"Property Collection","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 02:04:04.844","22-11-2022 02:04:03.000",McAfee,"McAfee ePO",2427,Critical,"{f76511e6-f20b-11ec-3141-0050568a51e1}",P01481,"145.219.201.78",0050568A51E1,"5.7.6.251",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ENDPATP_1070",0409,83,"Property Collection","N/A",EPOAGENT3000,"N/A","N/A","N/A"
"22-11-2022 00:50:12.133","22-11-2022 00:50:11.000",McAfee,"McAfee ePO",2427,Critical,"{58886b4a-8415-11ec-162f-0050568ad0c4}",P01201,"145.219.200.128",0050568AD0C4,"5.7.6.251",,,"-60","McAfee Agent",TVD,"5.0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ENDPATP_1070",0409,83,"Property Collection","N/A",EPOAGENT3000,"N/A","N/A","N/A"
